GEO_ID,NAME,B08130_001E,B08130_001M,B08130_002E,B08130_002M,B08130_003E,B08130_003M,B08130_004E,B08130_004M,B08130_005E,B08130_005M,B08130_006E,B08130_006M,B08130_007E,B08130_007M,B08130_008E,B08130_008M,B08130_009E,B08130_009M,B08130_010E,B08130_010M,B08130_011E,B08130_011M,B08130_012E,B08130_012M,B08130_013E,B08130_013M,B08130_014E,B08130_014M,B08130_015E,B08130_015M,B08130_016E,B08130_016M,B08130_017E,B08130_017M,B08130_018E,B08130_018M,B08130_019E,B08130_019M,B08130_020E,B08130_020M,B08130_021E,B08130_021M,B08130_022E,B08130_022M,B08130_023E,B08130_023M,B08130_024E,B08130_024M,B08130_025E,B08130_025M,B08130_026E,B08130_026M,B08130_027E,B08130_027M,B08130_028E,B08130_028M,B08130_029E,B08130_029M,B08130_030E,B08130_030M,B08130_031E,B08130_031M
0500000US38071,"Ramsey County, North Dakota",6231,233,6157,256,5442,300,715,192,74,75,4683,299,4641,308,4002,285,639,185,42,55,541,135,540,135,466,124,74,60,1,2,58,57,58,57,58,57,0,15,0,15,449,180,432,175,431,176,1,3,17,27,165,112,151,112,150,112,1,2,14,22,335,103
0500000US38073,"Ransom County, North Dakota",2777,97,2777,97,2048,134,729,112,0,13,1998,126,1998,126,1440,132,558,94,0,13,382,109,382,109,211,63,171,94,0,13,0,13,0,13,0,13,0,13,0,13,127,43,127,43,127,43,0,13,0,13,3,4,3,4,3,4,0,13,0,13,267,89
0500000US38075,"Renville County, North Dakota",1193,90,1193,90,677,90,516,65,0,9,935,93,935,93,487,77,448,69,0,9,106,35,106,35,38,23,68,29,0,9,6,6,6,6,6,6,0,9,0,9,36,17,36,17,36,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,110,42
0500000US38077,"Richland County, North Dakota",8654,237,7611,293,6186,295,1425,113,1043,164,6727,289,5761,289,4579,279,1182,102,966,158,931,179,888,177,667,168,221,50,43,31,0,15,0,15,0,15,0,15,0,15,362,111,362,111,360,111,2,4,0,15,147,79,113,56,93,54,20,15,34,41,487,105
0500000US38079,"Rolette County, North Dakota",5045,247,5037,249,4601,248,436,96,8,12,4367,276,4360,279,3961,263,399,95,7,11,194,69,194,69,162,62,32,23,0,15,3,4,3,4,0,15,3,4,0,15,101,45,101,45,99,45,2,3,0,15,13,12,12,12,12,12,0,15,1,2,367,93
0500000US38081,"Sargent County, North Dakota",2050,65,2014,66,1767,73,247,43,36,13,1506,80,1475,78,1239,78,236,42,31,12,174,46,169,44,158,42,11,12,5,6,7,10,7,10,7,10,0,9,0,9,161,39,161,39,161,39,0,9,0,9,27,16,27,16,27,16,0,9,0,9,175,35
0500000US38083,"Sheridan County, North Dakota",595,58,593,57,339,42,254,49,2,3,412,52,410,51,197,33,213,41,2,3,51,29,51,29,20,14,31,27,0,9,0,9,0,9,0,9,0,9,0,9,40,16,40,16,30,11,10,11,0,9,6,6,6,6,6,6,0,9,0,9,86,24
0500000US38085,"Sioux County, North Dakota",1299,82,1254,85,1198,85,56,16,45,18,901,80,868,77,818,75,50,16,33,17,190,57,185,56,179,56,6,5,5,4,8,6,8,6,8,6,0,9,0,9,72,23,65,21,65,21,0,9,7,8,17,13,17,13,17,13,0,9,0,9,111,28
0500000US38087,"Slope County, North Dakota",304,43,279,43,179,30,100,33,25,15,185,32,160,30,84,21,76,23,25,15,31,20,31,20,9,8,22,15,0,9,4,6,4,6,4,6,0,9,0,9,17,14,17,14,17,14,0,9,0,9,4,4,4,4,2,3,2,3,0,9,63,23
0500000US38089,"Stark County, North Dakota",16314,354,16244,358,14913,409,1331,246,70,59,13475,389,13413,389,12286,410,1127,207,62,59,1527,329,1519,327,1319,326,200,93,8,12,81,67,81,67,81,67,0,20,0,20,499,150,499,150,497,150,2,4,0,20,87,57,87,57,85,57,2,3,0,20,645,158
0500000US38091,"Steele County, North Dakota",1042,57,1035,58,693,65,342,62,7,9,689,78,682,78,416,63,266,53,7,9,105,45,105,45,34,31,71,40,0,9,3,4,3,4,0,9,3,4,0,9,92,30,92,30,90,30,2,3,0,9,9,6,9,6,9,6,0,9,0,9,144,56
